name,status,state,zipcode,TSR,latitude,longitude
WLSU-FM,Member,WI,54601,847404,43.804165,-91.154496
WLTR-FM,Member,SC,29201,1308507,33.987339,-81.036821
WMEA-FM,Member,ME,04240-3514,0,44.09395,-70.158294
WMEH-FM,Member,ME,04401-4324,5991073,44.850412,-68.861862
WMUK-FM,Member,MI,49008,1420527,42.260941,-85.612648
WNIJ-FM,Member,IL,60115-2854,1607130,41.89322,-88.768638
WNPR-FM,Member,CT,6105,6105145,41.307379,-72.925013
WOI-FM,Member,IA,50312,6483124,41.577467,-93.677536
WPLN-FM,Member,TN,37228-1204,3377565,36.196175,-86.804459
WPSU-FM,Member,PA,16802,1300708,40.808408,-77.863883
WQLN-FM,Member,PA,16509,652085,42.049417,-80.042315
WSCL-FM,Member,MD,21802-2596,890333,38.372823,-75.593515
WSHU-FM,Member,CT,6825,4536013,41.188065,-73.239866
WSSB-FM,Member,SC,29117,211634,33.5,-80.85
WSVH-FM,Member,GA,31419,1048168,31.970813,-81.158652
WUGA-FM,Member,GA,30602,1389628,33.954258,-83.374932
WUSF-FM,Member,FL,33620-6860,6560483,28.063467,-82.412973
WUTC-FM,Member,TN,37403-2598,1364059,35.049672,-85.295524
WUWM-FM,Member,WI,53201,3886796,43.03,-87.92
WVIA-FM,Member,PA,18640-6197,1287235,41.29725,-75.748778
WVPB-FM,Member,WV,25301-1292,3138015,38.351711,-81.633647
WVPS-FM,Member,VT,05446-3126,7130350,44.564903,-73.235489
WVTF-FM,Member,VA,24014,2620195,37.218093,-79.908076
WVXU-FM,Member,OH,45214-2889,4154546,39.117282,-84.530083
WWFM-FM,Member,NJ,08690-0182,2223058,40.227683,-74.657609
WXPN-FM,Member,PA,19104-3406,8286154,39.958359,-75.195393
WYSO-FM,Member,OH,45387-1607,1829710,39.801194,-83.910897
WAMU-FM,Member,DC,20016-8082,20324283,38.937481,-77.085226
WBHM-FM,Member,AL,35233-1221,2073206,33.506556,-86.804459
WBJB-FM,Member,NJ,07738-1597,688111,40.334482,-74.129868
WBLV-FM,Member,MI,49457,942478,43.36284,-86.195517
WBNI-FM,Member,IN,46898-8459,1004561,41.13,-85.13
WBST-FM,Member,IN,47306,1271995,40.198463,-85.413696
WCBU-FM,Member,IL,61625,1159288,40.696444,-89.616008
WCNY-FM,Member,NY,13220-2400,631951,43.120144,-76.133445
WCPE-FM,Member,NC,27588,0,35.971601,-78.513005
WCPN-FM,Member,OH,44115-1835,6368291,41.496341,-81.671991
WDIY-FM,Member,PA,18015,691265,40.59677,-75.376195
WNKU-FM,Member,KY,41099-5999,1644622,39.035091,-84.454048
WKYU-FM,Member,KY,42101-1035,1917329,37.118421,-86.540067
KBSW-FM,Member,ID,83725-1916,2058512,43.605067,-116.207043
KCBX-FM,Member,CA,93401,1058860,35.245499,-120.596976
KCFR-FM,Member,CO,80112,14455062,39.583579,-104.857137
KCLU-FM,Member,CA,91360,1535366,34.20247,-118.874143
KCND-FM,Member,ND,58102,1335953,46.922343,-96.840133
KCRW-FM,Member,CA,90405,21207440,34.009746,-118.465958
KCSM-FM,Member,CA,94402,2020719,37.524597,-122.339094
KDNK-FM,Member,CO,81623,455936,39.216565,-107.242998
KEDM-FM,Member,LA,71209-8214,469234,32.529156,-92.06989
WRKF-FM,Member,LA,70808,1065335,30.419245,-91.144898
WPRL-FM,Member,MS,39096,373453,31.850872,-91.173699
KAJX-FM,Member,CO,81611-1436,1102903,39.111632,-106.865039
KANU-FM,Member,KS,66044-2902,3849413,39.017668,-95.205791
KANZ-FM,Member,KS,67846-5519,1195114,38.079242,-100.709787
KCHO-FM,Member,CA,95929-0500,1435928,39.735769,-121.850446
WWNO-FM,Member,LA,70148,1775182,30.031117,-90.063583
WKMS-FM,Member,KY,42071,1335073,36.618971,-88.304491
WNCW-FM,Member,NC,28160,1325296,35.356155,-81.9262
KNAU-FM,Member,AZ,86011-5764,2105391,35.19054,-111.653403
KTEP-FM,Member,TX,79968,902188,31.770161,-106.50476
WESA-FM,Member,PA,15203,2762039,40.429303,-79.972424
WCQS-FM,Member,NC,28801-2919,1758373,35.592746,-82.556456
WUIS-FM,Member,IL,62703-5407,1935722,39.764682,-89.63458
WKAR-FM,Member,MI,48824-1212,3628924,42.724305,-84.479605
WQCS-FM,Member,FL,34981,1164098,27.398015,-80.371433
WEMU-FM,Member,MI,48198-0350,1833277,42.272853,-83.570964
WRTI-FM,Member,PA,19121,4528500,39.984092,-75.180804
WMRA-FM,Member,VA,22801,1422190,38.40499,-78.872234
KAXE-FM,Member,MN,55744,830647,47.122739,-93.47167
KRCB-FM,Member,CA,94928,348832,38.343782,-122.701195
WTMD-FM,Member,MD,21204,1104566,39.407567,-76.635495
WDDE-FM,Member,DE,19901,716914,39.208135,-75.457778
KENW-FM,Member,NM,88130,446289,34.177654,-103.31253
KCUR-FM,Member,MO,64110,3829963,39.036255,-94.575339
KUAF-FM,Member,AR,72701,1315726,35.998093,-94.089991
KUT-FM,Member,TX,78712-1061,9739392,30.283515,-97.73488
KAWC-AM,Member,AZ,85366,917112,32.687169,-114.624698
WLRH-FM,Member,AL,35899-3099,836269,34.735469,-86.651348
KCCU-FM,Member,OK,73505,737038,34.631685,-98.506201
