name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
KPBX-FM,47.70007,-117.45167,1802196,3,"Coaching & Development Webinars, Composer 2, Core Publisher",1,0,0
KUOW-FM,47.661424,-122.268374,12565175,18,"Events, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Live Streaming, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,0,1
KEXP-FM,47.628859,-122.345692,7143251,1,Analytics Service: Triton Webcast Metrics,0,0,0
KPLU-FM,47.142743,-122.440734,7404732,15,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars, Coaching & Development Conference, Distribution: NPR One app, Springboard Donation Forms",1,1,1
KAXE-FM,47.122739,-93.47167,830647,1,Analytics Service: Triton Webcast Metrics,0,0,0
KCND-FM,46.922343,-96.840133,1335953,17,"Analytics, Analytics Service: Chartbeat, Core Publisher, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Live Streaming, Composer Pro, Coaching & Development Webinars, Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Composer 2, Coaching & Development Conference, Distribution: iTunes Radio",1,1,0
KUFM-FM,46.861557,-113.98427,2795397,29,"Analytics, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Story API, NPR News Content & Marks, MSA > News Bundle, Analytics Service: Google Premium, Analytics Service: Chartbeat, Station Connect API, NPR Music Content, Distribution Streaming, Distribution: NPR.org and apps, MSA > Music Bundle, NPR Music Training, Springboard Donation Forms, Distribution: NPR One app, Distribution: Connected Platforms, Exact Target Email Marketing, Schedule and stream API, NPR Music Video Platform, Distribution: iTunes Radio",1,1,1
KWSU-AM,46.728721,-117.154274,1306355,7,"Composer Pro, Events, Sound Exchange Reporting, Mobile Site, Composer 2, Analytics, Core Publisher",1,1,0
WNMU-FM,46.547771,-87.395624,885267,9,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars, Distribution: iTunes Radio",1,1,0
KMUN-FM,46.187747,-123.831272,357293,5,"Analytics, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",0,0,0
WXPR-FM,45.636648,-89.346219,518964,5,"Analytics, Core Publisher, Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars",1,0,0
KEMC-FM,45.557643,-108.394214,1618154,2,"Sound Exchange Reporting, Coaching & Development Webinars",0,0,0
KOPB-FM,45.461809,-122.71819,11521069,17,"Analytics, Analytics Service: Chartbeat, Pulse, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Core Publisher, Live Streaming, Distribution: iTunes Radio, Distribution: NPR One app",1,1,0
KNOW-FM,44.951319,-93.090184,23149337,16,"Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Analytics, Events, Story API, MSA > News Bundle, NPR News Content & Marks, Composer 2, Coaching & Development Conference, Analytics Service: Google Premium, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio, Distribution: NPR One app",0,0,0
